							
姬魔恋战纪	上海义乐信息科技有限公司	246073人安装	9.7	490.31MB	2018年1月25日	5808	二次元,galgame,文字,角色扮演,休闲,后宫,美少女,剧情,恋爱,ACG,美女,养成,日系,画面精美,CV控,gal,经营,策略,唯美,冒险
							
活下去	成都黑骑士网络科技有限公司	852120人安装	9	61.22MB	2018年2月7日	3534	生存,单机,末日,丧尸,文字,剧情,中文,僵尸,冒险,内购,付费,UP主推荐,角色扮演,竖屏,策略
							
月圆之夜	滴答工作室	1096947人安装	9.4	148.12MB	2018年1月3日	14734	卡牌,单机,策略,回合制,有毒,独立游戏,冒险,竖屏,中文,Roguelike,文字,益智,童话,地牢
							
阴阳师	网易游戏	2211048人安装	6.8	873.93MB	2018年2月12日	20472	卡牌,养成,回合制,二次元,和风,角色扮演,玄学,非酋,收集,CV控,策略,联机,3D,中文,ACG,血统,日文,UP主推荐,阴阳师,剧情
							
光影对决	杭州电魂网络科技股份有限公司	288845人安装	8.1	377.67MB	2018年2月8日	6127	MOBA,二次元,动作,联机,UP主推荐,动漫,5v5,策略,日系,ACG,漫改,日文,多人
							
死亡日记2	北京乐动卓越科技有限公司	331748人安装	7.2	82.77MB	2017年12月27日	1568	生存,丧尸,多人,文字,求生,冒险,剧情,末日,恐怖,中文,角色扮演,英文
							
还有这种操作	青豆工作室	3448670人安装	8.8	14.18MB	2018年2月5日	13847	烧脑,有毒,益智,单机,搞笑,文字,休闲,中文,解密
							
长生劫-盗墓长生印	北派游戏工作室	763090人安装	9.7	95.82MB	2018年1月30日	20140	生存,单机,盗墓,解谜,独立游戏,RPG,冒险,UP主推荐,文字,策略,中文,角色扮演,重度,竖屏,联网
							
还有这种操作2	青豆工作室	5221人预约	9.6	13.54MB	2018年2月5日	10545	烧脑,有毒,脑洞,搞笑,单机,益智,文字,竖屏
							
众生	边境游戏工作室	54408人预约	9.5	52.65MB	2017年12月26日	17927	真实模拟,养成,高自由度,生存,单机,人生,模拟,文字,独立游戏,手绘画风,黑白,有毒,中文,极简,自由,策略,独立,国产
							
IRIS	萌游姬箱社	105613人关注	9.7	604.77MB	2018年2月12日	2649	galgame,恋爱,文字,二次元,ACG,萝莉,同人,剧情,萌系,单机,游戏性测试,美少女
							
流言侦探	WoodenWolf	776371人安装	9.4	65.37MB	2018年2月1日	9182	推理,悬疑,文字,侦探,互动小说,烧脑,剧情,单机,内购,UP主推荐,中文,解密,益智
							
你了解自己吗	晓风游戏	144391人关注	9.2	8.61MB	2018年2月14日	1813	心理学,测试,文字
							
姬魔恋战纪	上海义乐信息科技有限公司	246073人安装	9.7	490.31MB	2018年1月25日	5808	二次元,galgame,文字,角色扮演,休闲,后宫,美少女,剧情,恋爱,ACG,美女,养成,日系,画面精美,CV控,gal,经营,策略,唯美,冒险
							
活下去	成都黑骑士网络科技有限公司	852120人安装	9	61.22MB	2018年2月7日	3534	生存,单机,末日,丧尸,文字,剧情,中文,僵尸,冒险,内购,付费,UP主推荐,角色扮演,竖屏,策略
							
